id,widths__sepal_plus_petal
0,3.7
1,3.2
2,3.4000000000000004
3,3.3000000000000003
4,3.8000000000000003
5,4.3
6,3.6999999999999997
7,3.6
8,3.1
9,3.2
10,3.9000000000000004
11,3.6
12,3.1
13,3.1
14,4.2
15,4.800000000000001
16,4.3
17,3.8
18,4.1
19,4.1
20,3.6
21,4.1000000000000005
22,3.8000000000000003
23,3.8
24,3.6
25,3.2
26,3.8
27,3.7
28,3.6
29,3.4000000000000004
30,3.3000000000000003
31,3.8
32,4.199999999999999
33,4.4
34,3.3000000000000003
35,3.4000000000000004
36,3.7
37,3.7
38,3.2
39,3.6
40,3.8
41,2.5999999999999996
42,3.4000000000000004
43,4.1
44,4.2
45,3.3
46,4.0
47,3.4000000000000004
48,3.9000000000000004
49,3.5
50,4.6
51,4.7
52,4.6
53,3.5999999999999996
54,4.3
55,4.1
56,4.9
57,3.4
58,4.2
59,4.1
60,3.0
61,4.5
62,3.2
63,4.3
64,4.2
65,4.5
66,4.5
67,3.7
68,3.7
69,3.6
70,5.0
71,4.1
72,4.0
73,4.0
74,4.2
75,4.4
76,4.199999999999999
77,4.7
78,4.4
79,3.6
80,3.5
81,3.4
82,3.9000000000000004
83,4.300000000000001
84,4.5
85,5.0
86,4.6
87,3.5999999999999996
88,4.3
89,3.8
90,3.8
91,4.4
92,3.8
93,3.3
94,4.0
95,4.2
96,4.2
97,4.2
98,3.6
99,4.1
100,5.8
101,4.6
102,5.1
103,4.7
104,5.2
105,5.1
106,4.2
107,4.7
108,4.3
109,6.1
110,5.2
111,4.6
112,5.1
113,4.5
114,5.199999999999999
115,5.5
116,4.8
117,6.0
118,4.9
119,3.7
120,5.5
121,4.8
122,4.8
123,4.5
124,5.4
125,5.0
126,4.6
127,4.8
128,4.9
129,4.6
130,4.699999999999999
131,5.8
132,5.0
133,4.3
134,4.0
135,5.3
136,5.8
137,4.9
138,4.8
139,5.2
140,5.5
141,5.4
142,4.6
143,5.5
144,5.8
145,5.3
146,4.4
147,5.0
148,5.699999999999999
149,4.8
